full_name,abbreviation
antimony,Sb
arsenic,As
barium,Ba
beryllium,Be
cadmium,Cd
chromium,Cr
cobalt,Co
copper,Cu
iron,Fe
lead,Pb
manganese,Mn
molybdenum,Mo
nickel,Ni
palladium,Pd
selenium,Se
silver,Ag
strontium,Sr
thallium,Tl
tin,Sn
vanadium,V
zinc,Zn
aluminum,Al
cerium,Ce
lanthanum,La
titanium,Ti
uranium,U
acetate,Acet
ammonium,NH4
barium,Ba
bromide,Br
calcium,Ca
chloride,Cl
fluoride,F
formate,Form
lithium,Li
magnesium,Mg
manganese,Mn
msa,MSA
nitrate,NO3
nitrite,NO2
oxalate,Oxal
phosphate,PO4
potassium,K
propionate,Prop
sodium,Na
strontium,Sr
sulphate,SO4