year,site_id,analyte_type,instrument,frequency
2006,60427,WS,ICPMS,3
2006,60427,total,IC,3
2007,60427,WS,ICPMS,3
2007,101004,total,IC,3
2008,70301,WS,ICPMS,6
2009,70301,NT,ICPMS,6
2009,70301,WS,ICPMS,6
2009,106600,WS,ICPMS,3
2010,31001,total,IC,6
2010,40103,total,IC,6
2011,50134,total,IC,6
2011,80211,total,IC,6
2012,31001,total,IC,6
2012,129003,total,IC,6
2013,50308,total,IC,6
2013,70301,NT,ICPMS,3
2013,70301,total,IC,3
2014,62601,NT,ICPMS,3
2014,62601,WS,ICPMS,3
2014,62601,total,IC,3
2014,70119,total,IC,6
2015,70119,total,IC,6
2017,62601,NT,ICPMS,3
2017,62601,WS,ICPMS,3
2017,62601,total,IC,3
2018,119004,total,IC,6