old_name,new_name
SO4,sulphate
NO3,nitrate
Al,aluminum
Si,silicon
S,sulfur
K,potassium
Ca,calcium
Ti,titanium
V,vanadium
Cr,chromium
Mn,manganese
Fe,iron
Ni,nickel
Zn,zinc
Se,selenium
Br,bromine
Rb,rubidium
Sr,strontium
Cd,cadmium
Sn,tin
Sb,antimony
Cs,cesium
Ba,barium
Pb,lead
Cl-,chloride
Na+,sodium
NH4+,ammonium
Cl--MDL,Cl-MDL
Na+-MDL,Na-MDL
NH4+-MDL,NH4-MDL
Acetate,acetate
Ammonium,ammonium
Barium,barium
Bromide,bromide
Calcium,calcium
Chloride,chloride
Fluoride,fluoride
Formate,formate
Lithium,lithium
Magnesium,magnesium
Manganese,manganese
MSA,msa
Nitrate,nitrate
Nitrite,nitrite
Oxalate,oxalate
Phosphate,phosphate
Potassium,potassium
Propionate,propionate
Sodium,sodium
Strontium,strontium
Sulphate,sulphate
Speciation Mass (ug/m3),PM2.5
Mass,PM2.5
NAPS ID,site_id
DATE,sampling_date
Date,sampling_date